h1,p
Código Penal AguascalientesArtículo 172. Concusión,"La Concusión consiste en la exigencia que haga el servidor público, por sí o por medio de otro, y a título de impuesto o contribución, recargo, renta, rédito, salario o emolumento, de dinero, valores, servicios, o cualquiera otra cosa que sepa no ser debida, o en mayor cantidad que la señalada por la ley."
Código Penal AguascalientesArtículo 172. Concusión,"Cuando la cantidad o el valor de lo exigido indebidamente no exceda del equivalente de 500 días de Unidades de Medida y Actualización en el momento de cometerse el delito, o no sea valorable, se impondrán de 3 meses a 2 años de prisión y de 30 a 100 días multa."
Código Penal AguascalientesArtículo 172. Concusión,"Cuando la cantidad o el valor de lo exigido indebidamente exceda de 500 días de Unidades de Medida y Actualización en el momento de cometerse el delito, se impondrán de 2 años a 12 años de prisión y de 100 a 150 días multa"
Código Penal AguascalientesArtículo 173. Cohecho,El Cohecho consiste en:
Código Penal AguascalientesArtículo 173. Cohecho,"I. La solicitud u obtención ilícita de dinero o cualquier otra dádiva, o acepte una promesa, para sí o para otro, el servidor público, por sí o por interpósita persona, para hacer o dejar de realizar un acto propio de sus funciones inherentes a su empleo, cargo o comisión; o"
Código Penal AguascalientesArtículo 173. Cohecho,"II. El ofrecimiento o entrega de dinero o cualquier otra dádiva que de manera espontánea haga el particular a favor de los servidores públicos, para que hagan u omitan un acto relacionado con sus funciones inherentes a su empleo, cargo o comisión."
Código Penal AguascalientesArtículo 173. Cohecho,Al responsable de Cohecho se le impondrán las siguientes sanciones:
Código Penal AguascalientesArtículo 173. Cohecho,"Cuando la cantidad o el valor de la dádiva, los bienes, promesa o prestación no exceda del equivalente de 500 veces el valor diario de la Unidad de Medida y Actualización en el momento de cometerse el delito, o no sea valorable, se impondrán de 3 meses a 2 años de prisión y de 30 a 100 días multa."
Código Penal AguascalientesArtículo 173. Cohecho,"Cuando la cantidad o el valor de la dádiva, los bienes, promesa o prestación exceda de 500 veces el valor diario de la Unidad de Medida y Actualización en el momento de cometerse el delito, se impondrán de 2 a 14 años de prisión y de 100 a 150 días multa."
Código Penal AguascalientesArtículo 173. Cohecho,"En ningún caso se devolverá a los responsables del delito de Cohecho, el dinero o dádivas entregadas, las mismas se aplicarán en beneficio del Estado."
Código Penal AguascalientesArtículo 174. Peculado,El Peculado consiste en:
Código Penal AguascalientesArtículo 174. Peculado,"I. La distracción que haga el servidor público, para su beneficio o el de una tercera persona física o moral, de dinero, valores, fincas o cualquier cosa perteneciente al Estado o a un Municipio, a un organismo descentralizado o a un particular, si por razón de su cargo los hubiese recibido en administración, en depósito, en posesión o por otra causa;"
Código Penal AguascalientesArtículo 174. Peculado,"II. La utilización ilícita por el servidor público de fondos públicos con el objeto de promover la imagen política o social de su persona, la de su superior jerárquico o la de un tercero, o a fin de denigrar a cualquier persona; así como la solicitud o aceptación de cualquier persona para realizar las promociones o denigraciones a que se refiere esta fracción, a cambio de fondos públicos o del disfrute de los beneficios derivados de los actos a que se refiere el artículo del Ejercicio Indebido del Servicio Público;"
Código Penal AguascalientesArtículo 174. Peculado,"III. La distracción que de su objeto haga cualquier persona que, sin tener el carácter de servidor público estatal o municipal, está obligada legalmente a la custodia, administración o aplicación de recursos públicos estatales o municipales, para usos propios o ajenos, o les dé una aplicación distinta a la que se les haya destinado."
Código Penal AguascalientesArtículo 174. Peculado,Al responsable de Peculado se le aplicarán las siguientes sanciones:
Código Penal AguascalientesArtículo 174. Peculado,"Cuando el monto de lo distraído o de los fondos utilizados indebidamente no exceda del equivalente de 500 veces el valor diario de la Unidad de Medida y Actualización en el momento de cometerse el delito, o no sea valorable, se impondrán de 3 meses a 2 años de prisión y de 30 a 100 días multa."
Código Penal AguascalientesArtículo 174. Peculado,"Cuando el monto de lo distraído o de los fondos utilizados indebidamente exceda de 500 veces el valor diario de la Unidad de Medida y Actualización en el momento de cometerse el delito, se impondrán de 2 años a 14 años de prisión y de 100 a 150 días multa."
Código Penal AguascalientesArtículo 175. Tráfico de influencias,"El Tráfico de Influencias consiste en la promoción o gestión del servidor público del Estado, por sí o por interpósita persona, de trámites de negocios o resoluciones públicas ajenas a las responsabilidades inherentes a su empleo, cargo o comisión. Asimismo, afirmar un particular que, sin estar autorizado legalmente para intervenir en un negocio público, tiene influencia ante los servidores públicos facultados para tomar decisiones dentro de dichos negocios, e intervenga ante ellos para promover la resolución ilícita de los mismos, a cambio de obtener un beneficio para sí o para otro."
Código Penal AguascalientesArtículo 175. Tráfico de influencias,"Al responsable de Tráfico de Influencias se le aplicarán de 2 a 6 años de prisión, y de 30 a 100 días multa"
Código Penal AguascalientesArtículo 176. Encubrimiento,El Encubrimiento consiste en:
Código Penal AguascalientesArtículo 176. Encubrimiento,"I. Custodiar, recibir u ocultar el producto de un hecho punible, con ánimo de lucro, después de realizado tal hecho, conociendo el inculpado tal circunstancia y sin haber participado en su realización;"
Código Penal AguascalientesArtículo 176. Encubrimiento,"II. Prestar auxilio o cooperación de cualquier especie a los autores o partícipes de cualquier hecho punible, con conocimiento de esta circunstancia, por acuerdo posterior a la ejecución de tal hecho;"
Código Penal AguascalientesArtículo 176. Encubrimiento,"III. Ocultar a los autores o partícipes de cualquier hecho punible, o los efectos, objetos o instrumentos del mismo, o impida que se investigue tal hecho por las autoridades competentes;"
Código Penal AguascalientesArtículo 176. Encubrimiento,"IV. No dar auxilio para la investigación de hechos punibles o para llevar a cabo la persecución de los autores o partícipes en aquéllos, cuando para ello sea requerido por las autoridades competentes; o"
Código Penal AguascalientesArtículo 176. Encubrimiento,"V. Omitir o retardar dolosamente la denuncia de los hechos punibles ante la autoridad competente, cuando un funcionario o servidor público en el ejercicio de sus funciones tuviere conocimiento de estos."
Código Penal AguascalientesArtículo 176. Encubrimiento,Al Responsable de Encubrimiento se le aplicarán de 1 a 6 años de prisión y de 50 a 200 días multa y al pago total de la reparación de los daños y perjuicios ocasionados.
Código Penal AguascalientesArtículo 176. Encubrimiento,"En relación con las Fracciones II, III y IV del presente Artículo, no se tendrán por tipificados los hechos descritos, si quienes llevan a cabo las conductas tienen el carácter de ascendientes o descendientes consanguíneos o afines, se trate del cónyuge, concubina o concubinario, o parientes colaterales por consanguinidad hasta el segundo grado, respecto de los autores o partícipes del diverso hecho punible."
Código Penal AguascalientesArtículo 177. Evasión de presos,La Evasión de Presos consiste en favorecer o poner en libertad a una o varias personas que se encuentren legalmente privadas de aquélla.
Código Penal AguascalientesArtículo 177. Evasión de presos,"Al responsable de Evasión de Presos se le aplicarán de 6 meses a 7 años de prisión y de 25 a 200 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 177. Evasión de presos,"Si el inculpado fuere el encargado de conducir o custodiar al evadido, se le aplicará la pena de Inhabilitación hasta por 5 años."
Código Penal AguascalientesArtículo 177. Evasión de presos,"Si la reaprehensión del o de los prófugos se lograre por gestiones del responsable de la evasión, la punibilidad establecida se reducirá hasta en una mitad de los mínimos y máximos establecidos."
Código Penal AguascalientesArtículo 177. Evasión de presos,"La punibilidad establecida en el presente Artículo no se aplicará si el inculpado tiene el carácter de ascendiente, descendiente, cónyuge o hermano de la persona o personas evadidas, excepto en el caso de que hayan realizado la conducta por medio de la violencia en las personas."
Código Penal AguascalientesArtículo 178. Regla especial,"A las personas privadas legítimamente de su libertad y que se evadan del establecimiento donde se encuentran internadas o cuando sean motivo de traslado a otro, no se les aplicará pena o medida de seguridad alguna, salvo que en el hecho utilizaren o ejercieren violencia sobre las personas."
Código Penal AguascalientesArtículo 178. Regla especial,"En este caso, la punibilidad será de 6 meses a 3 años de prisión y de 25 a 50 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 178. Regla especial,"La persona privada legítimamente de su libertad que se evada del establecimiento donde se encuentra internada, por estar cumpliendo una sanción privativa de la libertad, o en período de detención o prisión preventiva, no se le contará el tiempo que pase fuera del lugar en que deba hacerla efectiva."
Código Penal AguascalientesArtículo 179. Revelación de secretos,La Revelación de Secretos consiste en:
Código Penal AguascalientesArtículo 179. Revelación de secretos,I. El aprovechamiento o difusión que una persona realice sobre archivos informáticos de uso personal de otra sin que ésta dé su consentimiento;
Código Penal AguascalientesArtículo 179. Revelación de secretos,II. Difundir la información confidencial obtenida en los términos que marca la Ley de Video Vigilancia del Estado de Aguascalientes; o
Código Penal AguascalientesArtículo 179. Revelación de secretos,"III. La revelación de una comunicación reservada que se conozca o que se haya recibido por motivo de empleo, cargo o puesto, sin justa causa, con perjuicio de alguien y sin consentimiento de la víctima."
Código Penal AguascalientesArtículo 179. Revelación de secretos,"Al responsable de Revelación de Secretos se le aplicarán de 6 meses a 2 años de prisión y de 150 a 300 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 179. Revelación de secretos,"Si el responsable de la Revelación de Secretos presta sus servicios profesionales o técnicos, o se trata de un servidor público; o el secreto revelado es de carácter industrial o científico, la punibilidad será de 2 a 6 años de prisión y de 300 a 500 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados"
Código Penal AguascalientesArtículo 180. Violación de correspondencia,"La Violación de Correspondencia consiste en abrir o interceptar en forma dolosa, una comunicación escrita, electrónica, magnética, óptica o informática que no esté dirigida al inculpado."
Código Penal AguascalientesArtículo 180. Violación de correspondencia,"Al responsable de Violación de Correspondencia se le aplicarán de 5 a 10 meses de prisión y de 50 a 200 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 180. Violación de correspondencia,"Esta punibilidad no se aplicará si el responsable ejerce la patria potestad, tutela o custodia, y la comunicación escrita se dirige a las personas bajo su tutela o guarda."
Código Penal AguascalientesArtículo 181. Acceso informático indebido,El Acceso Informático Indebido consiste en:
Código Penal AguascalientesArtículo 181. Acceso informático indebido,I. Acceder a la información contenida en un aparato para el procesamiento de datos o cualquier dispositivo de almacenamiento de información sin autorización de su propietario o poseedor legítimo; o
Código Penal AguascalientesArtículo 181. Acceso informático indebido,"II. Interferir el buen funcionamiento de un sistema operativo, programa de computadora, base de datos o cualquier archivo informático, sin autorización de su propietario o poseedor legítimo."
Código Penal AguascalientesArtículo 181. Acceso informático indebido,"Al responsable del Acceso Informático Indebido se le aplicará de 3 a 6 meses de prisión, de 150 a 300 días multa así como el pago de la reparación de los daños y perjuicios ocasionados. Si quien realiza el Acceso informático indebido es el responsable del mantenimiento o seguridad del sistema de información sobre el que perpetra, se le aplicará de 2 a 6 meses de prisión, de 300 a 600 días multa así como el pago de la reparación de daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 181. Acceso informático indebido,"Si quien realiza el Acceso Informático Indebido es el responsable del mantenimiento o seguridad del sistema de información sobre el que se perpetra, se le aplicará de 2 a 6 meses de prisión, de 300 a 600 días multa así como el pago de la reparación de daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 181. Acceso informático indebido,"Si mediante el Acceso Informático Indebido referido en la Fracción I, se accede o difunden imágenes o videos referentes al pene, senos, glúteos o la vagina, o bien actos sexuales de cualquier persona, sin permiso de ésta o bien, del propietario o tenedor legítimo del aparato para el procesamiento de datos o del dispositivo de almacenamiento de información de que se trate, al responsable se le aplicará de 1 a 3 años de prisión, de 300 a 600 días multa así como el pago de la reparación de daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 181. Acceso informático indebido,"Artículo 181 A.- Suplantación de la Identidad. La suplantación de la identidad consiste en usurpar o sustituir a otra persona a través de cualquier medio, utilizando sin consentimiento, sus datos personales con fines ilícitos o lucrativos, aun cuando estos no se logren."
Código Penal AguascalientesArtículo 181. Acceso informático indebido,También se considerará suplantación de la identidad cuando el titular otorgue su consentimiento para que se utilice su identidad en beneficio o perjuicio de un tercero.
Código Penal AguascalientesArtículo 181. Acceso informático indebido,"Al responsable de Suplantación de la Identidad se aplicarán de 4 a 12 años de prisión y de 200 a 500 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 181. Acceso informático indebido,La pena de prisión y días de multa se aumentará hasta en una mitad en sus mínimos y sus máximos cuando el sujeto activo se aproveche de su profesión; de su calidad como servidor público; o se valga de su empleo dentro de cualquier institución crediticia para la comisión de la conducta.
Código Penal AguascalientesArtículo 182. Ataques a las vías de comunicación y medios de transporte dolosos,Los Ataques a las Vías de Comunicación y a los Medios de Transporte Dolosos consisten en:
Código Penal AguascalientesArtículo 182. Ataques a las vías de comunicación y medios de transporte dolosos,"I. La interrupción total o parcial que se haga de cualquier forma a los servicios de comunicación, vialidades y de transporte locales;"
Código Penal AguascalientesArtículo 182. Ataques a las vías de comunicación y medios de transporte dolosos,"II. La retención de cualquier vehículo destinado al servicio público de transporte de jurisdicción local, sin orden previa de autoridad;"
Código Penal AguascalientesArtículo 182. Ataques a las vías de comunicación y medios de transporte dolosos,"III. La destrucción, inutilización, o cambio de sentido o de lugar de una señal establecida para la seguridad de las vías de comunicación o medios de transporte; o"
Código Penal AguascalientesArtículo 182. Ataques a las vías de comunicación y medios de transporte dolosos,IV. La violación por dos o más veces de la Ley de Vialidad en lo que se refiere a exceso de velocidad.
Código Penal AguascalientesArtículo 182. Ataques a las vías de comunicación y medios de transporte dolosos,"Para la adecuada aplicación de la presente figura típica, se entiende por vías de comunicación, las de tránsito destinadas habitualmente al uso público, sea quien fuere el propietario y cualquiera que fuere el medio de locomoción que se utilice en ellas."
Código Penal AguascalientesArtículo 182. Ataques a las vías de comunicación y medios de transporte dolosos,"Al responsable de Ataques a las Vías de Comunicación y a los Medios de Transporte Dolosos se le aplicarán de 6 meses a 4 años de prisión y de 10 a 200 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 182. Ataques a las vías de comunicación y medios de transporte dolosos,"Si para la ejecución de los hechos descritos en este Artículo se utilizan materias explosivas o incendiarias, la punibilidad será de 1 a 6 años de prisión y de 15 a 300 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados"
Código Penal AguascalientesArtículo 183. Dignidad de los muertos,"Se afecta la dignidad de las personas muertas o cadáveres, mediante:"
Código Penal AguascalientesArtículo 183. Dignidad de los muertos,"I. Su destrucción, mutilación, incineramiento, ocultamiento, inhumación o exhumación, sin la debida autorización de las autoridades sanitarias correspondientes;"
Código Penal AguascalientesArtículo 183. Dignidad de los muertos,"II. Usarlos para cualquier fin, sin la autorización de las autoridades competentes;"
Código Penal AguascalientesArtículo 183. Dignidad de los muertos,III. Cometer actos de vilipendio sobre los mismos o violar el lugar donde éstos se encuentren; o
Código Penal AguascalientesArtículo 183. Dignidad de los muertos,IV. Profanarlos con actos de necrofilia.
Código Penal AguascalientesArtículo 183. Dignidad de los muertos,"Al responsable de las conductas descritas en este Artículo, se le aplicarán de 6 meses a 3 años de prisión y de 15 a 50 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 184. Rebelión,"La Rebelión consiste en el levantamiento de armas por un grupo de personas en contra del Gobierno del Estado, para:"
Código Penal AguascalientesArtículo 184. Rebelión,"I. Abolir o reformar la Constitución Política de éste, o las instituciones que de ella emanen;"
Código Penal AguascalientesArtículo 184. Rebelión,II. Impedir la integración de éstas o su libre ejercicio y funcionamiento; o
Código Penal AguascalientesArtículo 184. Rebelión,"III. Separar de sus cargos al Gobernador, diputados al Congreso Estatal, Magistrados del Supremo Tribunal de Justicia, Secretario General de Gobierno, Fiscal General del Estado, Presidentes Municipales, regidores y síndicos de los Ayuntamientos."
Código Penal AguascalientesArtículo 184. Rebelión,"A los responsables de Rebelión se les aplicarán de 1 a 8 años de prisión, de 30 a 150 días multa, al pago total de la reparación de los daños y perjuicios ocasionados, y privación de derechos políticos hasta por 5 años."
Código Penal AguascalientesArtículo 184. Rebelión,"Si el inculpado ostenta el carácter de servidor público o empleado del Gobierno del Estado, ser además destituido del cargo o empleo, y se le inhabilitará para obtener otro de las mismas características por el término de 10 años"
Código Penal AguascalientesArtículo 185. Rebelión equiparada,Se equipara a la Rebelión:
Código Penal AguascalientesArtículo 185. Rebelión equiparada,I. El impedir que las fuerzas del Gobierno del Estado reciban el auxilio necesario para ejercer sus funciones de defensa;
Código Penal AguascalientesArtículo 185. Rebelión equiparada,"II. El revelar o entregar el servidor público, a los inculpados de la rebelión, información estratégica, que por razón de su empleo o cargo, pueda tener acceso a ella;"
Código Penal AguascalientesArtículo 185. Rebelión equiparada,"III. El mantener relaciones con los inculpados de la Rebelión, para proporcionales noticias concernientes a operaciones militares u otras que pudieran ser útiles, una vez realizado el levantamiento; o"
Código Penal AguascalientesArtículo 185. Rebelión equiparada,"IV. El tener voluntariamente un empleo, cargo subalterno o comisión en el lugar ocupado por los inculpados de la rebelión."
Código Penal AguascalientesArtículo 185. Rebelión equiparada,"A los responsables de Rebelión Equiparada se les aplicarán de 1 a 8 años de prisión, de 15 a 50 días multa, al pago total de la reparación de los daños y perjuicios ocasionados, y privación de derechos políticos hasta por cinco años"
Código Penal AguascalientesArtículo 186. Sedición,La Sedición consiste en:
Código Penal AguascalientesArtículo 186. Sedición,"I. La resistencia o ataque a la autoridad, para impedirle el libre ejercicio de sus funciones, por personas físicas reunidas tumultuariamente y sin armas; o"
Código Penal AguascalientesArtículo 186. Sedición,"II. La invitación formal y directa que se haga de cualquier forma, para desobedecer las leyes legalmente promulgadas."
Código Penal AguascalientesArtículo 186. Sedición,"A los responsables de Sedición se les aplicarán de 2 a 5 años de prisión y de 15 a 150 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados"
Código Penal AguascalientesArtículo 187. Motín,"El Motín consiste en la reunión en forma tumultuaria que cause grave desorden público, con el objeto de buscar el reconocimiento o concesión de algún derecho."
Código Penal AguascalientesArtículo 187. Motín,"A los responsables de Motín se les aplicarán de 2 a 5 años de prisión y de 20 a 100 días multa, y al pago total de la reparación de los daños y perjuicios ocasionados"
Código Penal AguascalientesArtículo 188. ,Se deroga
Código Penal AguascalientesArtículo 189. ,Se deroga
Código Penal AguascalientesArtículo 190. Defraudación fiscal,La Defraudación Fiscal consiste en:
Código Penal AguascalientesArtículo 190. Defraudación fiscal,I. Utilizar el engaño o el aprovechamiento del error para omitir total o parcialmente el pago de algún crédito fiscal;
Código Penal AguascalientesArtículo 190. Defraudación fiscal,"II. Proporcionar datos falsos una persona física al realizar su inscripción en el registro de contribuyentes, en perjuicio del interés fiscal;"
Código Penal AguascalientesArtículo 190. Defraudación fiscal,"III. Grabar o manufacturar sin autorización de la Secretaría de Finanzas del Estado, matrices, punzones, dados, clichés o negativos, semejantes a los que la propia Secretaría usa para imprimir, grabar o troquelar comprobantes de pago de prestaciones fiscales y objetos que se utilicen oficialmente como medios de control fiscal;"
Código Penal AguascalientesArtículo 190. Defraudación fiscal,"IV. Imprimir, grabar o troquelar sin autorización de la Secretaría de Finanzas del Estado, placas, tarjetones o comprobantes de pago de prestaciones fiscales u objetos que se utilicen oficialmente como medios de control fiscal;"
Código Penal AguascalientesArtículo 190. Defraudación fiscal,"V. Alterar en sus características, las placas, tarjetones o comprobantes de pago de prestaciones fiscales u objetos que se utilicen oficialmente como medios de control fiscal;"
Código Penal AguascalientesArtículo 190. Defraudación fiscal,"VI. Usar, vender o poner en circulación, placas, tarjetones o comprobantes de pago de prestaciones fiscales u objetos que se utilicen oficialmente como medios de control fiscal;"
Código Penal AguascalientesArtículo 190. Defraudación fiscal,"VII. Consignar en las declaraciones que se presenten para fines fiscales, ingresos o utilidades menores que los realmente obtenidos, o deducciones falsas;"
Código Penal AguascalientesArtículo 190. Defraudación fiscal,"VIII. Proporcionar con falsedad a las autoridades fiscales que lo requieran, los datos que obren en su poder y que sean necesarios para determinar la producción, la base gravable o los impuestos que cause;"
Código Penal AguascalientesArtículo 190. Defraudación fiscal,"IX. Ocultar a las autoridades fiscales estatales, total o parcialmente, la producción sujeta a impuestos o el monto de las ventas;"
Código Penal AguascalientesArtículo 190. Defraudación fiscal,X. No expedir los documentos con los requisitos establecidos por las disposiciones fiscales para acreditar el pago de un impuesto.
Código Penal AguascalientesArtículo 190. Defraudación fiscal,"XI. Traficar con productos, sin llenar los requisitos de control a que obliguen las disposiciones fiscales a los fabricantes, porteadores, comerciantes o expendedores;"
Código Penal AguascalientesArtículo 190. Defraudación fiscal,"XII. No enterar a las autoridades fiscales dentro del plazo del requerimiento que se le haga, de las cantidades que haya retenido o recaudado de los contribuyentes por concepto de créditos fiscales;"
Código Penal AguascalientesArtículo 190. Defraudación fiscal,"XIII. Llevar dos o más libros similares o sistemas informáticos con distintos asientos o datos para registrar sus operaciones contables, fiscales o sociales;"
Código Penal AguascalientesArtículo 190. Defraudación fiscal,"XIV. Destruir, ordenar o permitir la destrucción total o parcial de los libros de contabilidad o sistemas informáticos previstos en la Fracción anterior;"
Código Penal AguascalientesArtículo 190. Defraudación fiscal,"XV. Utilizar pastas o encuadernaciones de los libros a que se refiere la Fracción XIII, para sustituir o cambiar las páginas foliadas, o alterar los sistemas informáticos de contabilidad que correspondan;"
Código Penal AguascalientesArtículo 190. Defraudación fiscal,"XVI. Confeccionar o utilizar facturas, notas o comprobantes apócrifos;"
Código Penal AguascalientesArtículo 190. Defraudación fiscal,XVII. Hacer mal uso de los incentivos fiscales o aplicarlos para usos distintos de los que fueron otorgados;
Código Penal AguascalientesArtículo 190. Defraudación fiscal,"XVIII. Obtener beneficios sin tener derecho a ello, de un subsidio o estímulo fiscal."
Código Penal AguascalientesArtículo 190. Defraudación fiscal,"Al responsable de Defraudación Fiscal se le aplicarán de 2 a 6 de prisión y de 25 a 150 días multa y al pago total de los daños y perjuicios ocasionados, si el monto de lo defraudado es inferior a cien veces el valor diario de la Unidad de Medida y Actualización, y si se rebasa tal monto, la pena será de 4 a 12 años de prisión y de 50 a 250 días multa y al pago total de los daños y perjuicios ocasionados"
Código Penal AguascalientesArtículo 190. Defraudación fiscal,"Cuando no se pueda determinar con exactitud la cuantía del crédito fiscal que se defraudó, se aplicarán de 6 meses a 2 años de prisión y de 10 a 100 días multa y al pago total de los daños y perjuicios ocasionados"
Código Penal AguascalientesArtículo 191. Atentados al equilibrio ecológico dolosos,Los Atentados al Equilibrio Ecológico Dolosos consisten en:
Código Penal AguascalientesArtículo 191. Atentados al equilibrio ecológico dolosos,"I. Fabricar, elaborar, transportar, distribuir, comerciar, almacenar, poseer, usar, reusar, reciclar, recolectar, tratar, desechar, descargar, disponer, comerciar o realizar actos con materiales o residuos que ocasionen o puedan ocasionar daños a la salud pública, la flora, la fauna o los ecosistemas del Estado, sin la autorización de la autoridad estatal competente o contraviniendo los términos en que aquella se haya concedido;"
Código Penal AguascalientesArtículo 191. Atentados al equilibrio ecológico dolosos,"II. Despedir o descargar en la atmósfera, gases, humos y polvos que ocasionen o puedan ocasionar graves daños a la salud pública, la flora, la fauna o los ecosistemas del Estado;"
Código Penal AguascalientesArtículo 191. Atentados al equilibrio ecológico dolosos,"III. Descargar, depositar o infiltrar aguas residuales, desechos o contaminantes en los suelos, ríos, cuencas, vasos y demás depósitos o corrientes de agua, que ocasionen o puedan ocasionar graves daños a la salud pública, la flora, la fauna o los ecosistemas del Estado, sin la autorización de la autoridad estatal competente o contraviniendo los términos en que aquella se haya concedido;"
Código Penal AguascalientesArtículo 191. Atentados al equilibrio ecológico dolosos,"IV. Generar emisiones de ruido, vibraciones, energía térmica o lumínica que ocasionen graves daños a la salud pública, la flora, la fauna o los ecosistemas del Estado, rebasando los límites fijados en las normas técnicas propuestas por la Ley de Protección Ambiental para el Estado de Aguascalientes;"
Código Penal AguascalientesArtículo 191. Atentados al equilibrio ecológico dolosos,"V. Generar o causar por cualquier medio o forma, alteraciones, destrucción, daños o enfermedades graves a las áreas verdes, flora, fauna, salud pública o a los ecosistemas del Estado; o"
Código Penal AguascalientesArtículo 191. Atentados al equilibrio ecológico dolosos,"VI. Causar la muerte o lesiones que afecten la salud de animales domésticos, sin justificación o autorización legal. Para los efectos de la presente Fracción, los animales domésticos serán aquellos que habiten con un ser humano con la finalidad de convivir y dependan de éste para subsistir, así como los que deambulen libremente por la vía pública sin que habiten con un ser humano."
Código Penal AguascalientesArtículo 191. Atentados al equilibrio ecológico dolosos,"Al responsable de Atentados al Equilibrio Ecológico Dolosos previstos en las Fracciones I a la V se le aplicarán de 1 a 10 años de prisión y de 20 a 200 días multa, reparación total de los daños y perjuicios causados y suspensión, privación e inhabilitación de derechos, funciones, cargos, comisiones, empleos o profesiones de 6 meses a 2 años."
Código Penal AguascalientesArtículo 191. Atentados al equilibrio ecológico dolosos,"Al responsable de Atentados al Equilibrio Ecológico Doloso previsto en la Fracción VI, se le impondrá de 1 a 3 meses de prisión, de 10 a 50 días multa, el pago de la reparación de daños y perjuicios ocasionados así como de 1 a 6 meses de inhabilitación para poder realizar cualquier actividad relacionada con la salud, cuidado, resguardo o comercio de animales. Si esta conducta la perpetra una persona que realice cualquier actividad relacionada con la salud, cuidado, resguardo o comercio de animales, también se le aplicará de 1 a 6 meses de suspensión de su cargo, función, empleo, comisión o profesión."
Código Penal AguascalientesArtículo 192. Discriminación,La Discriminación consiste en:
Código Penal AguascalientesArtículo 192. Discriminación,"I. Provocar o incitar al odio o a la violencia, o negar o restringir derechos laborales, por razón de edad, sexo, embarazo, estado civil, raza, idioma, religión, ideología, orientación sexual, color de piel, nacionalidad, origen o posición social, trabajo o profesión, posición económica, carácter físico, discapacidad o estado de salud; o"
Código Penal AguascalientesArtículo 192. Discriminación,II. Vejar o excluir a alguna persona o grupo de personas cuando dichas conductas tengan por resultado un daño material o moral;
Código Penal AguascalientesArtículo 192. Discriminación,"Al responsable de Discriminación se le aplicará pena de 6 meses a 2 años de prisión y de 15 a 50 días multa, así como el pago total de la reparación del daño y los perjuicios ocasionados."
Código Penal AguascalientesArtículo 192. Discriminación,Si las conductas descritas en este Artículo las realiza un servidor público se le aumentará en una mitad el mínimo y el máximo de la punibilidad descrita en el párrafo anterior.
Código Penal AguascalientesArtículo 192. Discriminación,"No serán punibles las conductas descritas en este Artículo, si se trata de medidas tendientes a la protección de grupos sociales desfavorecidos."
Código Penal AguascalientesArtículo 193. Atentados a la salud pública,Los atentados a la Salud Pública consisten en:
Código Penal AguascalientesArtículo 193. Atentados a la salud pública,I. Comerciar o expender sustancias beta-agonistas para fines distintos a los médico- terapéuticos;
Código Penal AguascalientesArtículo 193. Atentados a la salud pública,II. Administrar sustancias beta-agonistas a los animales cuyas carnes o productos se destinen al consumo humano;
Código Penal AguascalientesArtículo 193. Atentados a la salud pública,"III. Sacrificar animales o destinar los productos de animales de abasto para consumo humano, a los que se les haya administrado sustancias beta- agonistas;"
Código Penal AguascalientesArtículo 193. Atentados a la salud pública,"IV. Comerciar o expender carnes o productos de animales para consumo humano, a los que se les haya administrado sustancias beta-agonistas; y"
Código Penal AguascalientesArtículo 193. Atentados a la salud pública,"V. Expedir certificados oficiales de no presencia de sustancias beta-agonistas en animales o productos destinados al consumo humano, a los cuales se les haya administrado."
Código Penal AguascalientesArtículo 193. Atentados a la salud pública,"En el caso de los atentados a la Salud Pública a que se refieren las Fracciones I, II y III se le aplicará al responsable de 3 a 6 años de prisión y de 400 a 800 días multa; en el caso de la Fracción IV se le aplicará al responsable de 1 a 3 años de prisión y de 250 a 500 días multa; y en el caso de la Fracción V, se le aplicará al responsable de 4 a 8 años de prisión y de 500 a 1000 días multa; en todos los casos, el responsable deberá hacer el pago total de los daños y perjuicios ocasionados."
Código Penal AguascalientesArtículo 193. Atentados a la salud pública,"Se exceptúa la responsabilidad del sujeto activo derivada de la Fracción IV, cuando no tenga conocimiento de que la carne o productos animales para consumo humano que comercializa o expende se encuentren contaminados con sustancias beta-agonistas."
Código Penal AguascalientesArtículo 194. Uso indebido de llamadas telefónicas para movilizar sistemas de respuesta de emergencia,El Uso Indebido de Llamadas Telefónicas para movilizar los sistemas de respuesta de emergencia consiste en:
